name,TypeSpecific,Type,Region,Zone
Long_Lake_1,Hydro,Hydro,AVA,US
Long_Lake_2,Hydro,Hydro,AVA,US
Long_Lake_3,Hydro,Hydro,AVA,US
Long_Lake_4,Hydro,Hydro,AVA,US
LongviewFibre4,Bio-ST,Biomass,BPAT,US
LongviewFibre6,Bio-ICE,Biomass,BPAT,US
LongviewFibre7,Bio-ICE,Biomass,BPAT,US
Lookout_Point_1,Hydro_FixedDispatch,Hydro,BPAT,US
Lookout_Point_2,Hydro_FixedDispatch,Hydro,BPAT,US
Lookout_Point_3,Hydro_FixedDispatch,Hydro,BPAT,US
LostCreek_OR1,Hydro_FixedDispatch,Hydro,BPAT,US
LostCreek_OR2,Hydro_FixedDispatch,Hydro,BPAT,US
LOTTWWTP,Bio-ICE,Biomass,PSEI,US
Lower_Baker_3,Hydro_ZeroK,Hydro,PSEI,US
Lower_Granite_1,Hydro_FixedDispatch,Hydro,BPAT,US
Lower_Granite_2,Hydro_FixedDispatch,Hydro,BPAT,US
Lower_Granite_3,Hydro_FixedDispatch,Hydro,BPAT,US
Lower_Granite_4,Hydro_FixedDispatch,Hydro,BPAT,US
Lower_Granite_5,Hydro_FixedDispatch,Hydro,BPAT,US
Lower_Granite_6,Hydro_FixedDispatch,Hydro,BPAT,US
Lower_Malad_1,Hydro_FixedDispatch,Hydro,IPMV,US
Lower_Salmon_1,Hydro,Hydro,IPMV,US
Lower_Salmon_2,Hydro,Hydro,IPMV,US
Lower_Salmon_3,Hydro,Hydro,IPMV,US
Lower_Salmon_4,Hydro,Hydro,IPMV,US
LowerBaker4,Hydro_ZeroK,Hydro,PSEI,US
LowerMonumentl1,Hydro_FixedDispatch,Hydro,BPAT,US
LowerMonumentl2,Hydro_FixedDispatch,Hydro,BPAT,US
LowerMonumentl3,Hydro_FixedDispatch,Hydro,BPAT,US
LowerMonumentl4,Hydro_FixedDispatch,Hydro,BPAT,US
LowerMonumentl5,Hydro_FixedDispatch,Hydro,BPAT,US
LowerMonumentl6,Hydro_FixedDispatch,Hydro,BPAT,US
LowerNo12,Hydro_ZeroK,Hydro,BPAT,US
LowerNo21,Hydro_ZeroK,Hydro,BPAT,US
