name,TypeSpecific,Type,Region,Zone
Kerckhoff_2_1,Hydro_FixedDispatch,Hydro,CIPV,CA
Kerckhoff_H1,Hydro_FixedDispatch,Hydro,CIPV,CA
Kerckhoff_H2,Hydro_FixedDispatch,Hydro,CIPV,CA
Kerckhoff_H3,Hydro_FixedDispatch,Hydro,CIPV,CA
Kern_Canyon_1,HydroRPS_FixedDispatch,Hydro,CIPV,CA
Kern_Front_KF1,CT-NatGas-Aero,CHP-QF,CIPV,CA
Kern_Front_KF2,CT-NatGas-Aero,Gas CT,CIPV,CA
KernRiver1_1,Hydro_FixedDispatch,Hydro,CIPV,CA
KernRiver1-2,Hydro_FixedDispatch,Hydro,CISC,CA
KernRiver1-3,Hydro_FixedDispatch,Hydro,CISC,CA
KernRiver1-4,Hydro_FixedDispatch,Hydro,CISC,CA
KernRiver3_1,Hydro_FixedDispatch,Hydro,CIPV,CA
KernRiver3_2,Hydro_FixedDispatch,Hydro,CIPV,CA
KernRiverCgn1,CT-NatGas-Industrial,CHP-QF,CISC,CA
KernRiverCgn2,CT-NatGas-Industrial,CHP-QF,CISC,CA
KernRiverCgn3,CT-NatGas-Industrial,CHP-QF,CISC,CA
KernRiverCgn4,CT-NatGas-Industrial,CHP-QF,CISC,CA
Kerr_KER1,Hydro_ZeroK,Hydro,NWMT,MT
Kerr_KER2,Hydro_ZeroK,Hydro,NWMT,MT
Kerr_KER3,Hydro_ZeroK,Hydro,NWMT,MT
Keswick_1,Hydro_FixedDispatch,Hydro,BANC,CA
Keswick_2,Hydro_FixedDispatch,Hydro,BANC,CA
Keswick_3,Hydro_FixedDispatch,Hydro,BANC,CA
KettleFalls1,Bio-ST,Biomass,AVA,PNW
KettleFalls2,CT-NatGas-Aero,Gas CT,AVA,PNW
KettlesHills2_1,WT-Onshore,Wind,AESO,CAN
KettlesHills2_2,WT-Onshore,Wind,AESO,CAN
KettlesHills2_3,WT-Onshore,Wind,AESO,CAN
KettlesHills2_4,WT-Onshore,Wind,AESO,CAN
KettlesHills3_1,WT-Onshore,Wind,AESO,CAN
KettlesHills3_2,WT-Onshore,Wind,AESO,CAN
KettlesHills3_3,WT-Onshore,Wind,AESO,CAN
KettlesHills3_4,WT-Onshore,Wind,AESO,CAN
KettlesHills3_5,WT-Onshore,Wind,AESO,CAN
KettlesHills3_6,WT-Onshore,Wind,AESO,CAN
Kiara_Anderson,Bio-ST,Biomass,CIPV,CA
Kiefer2_1,Bio-ST,Biomass,CIPB,CA
Kiefer2_2,Bio-ST,Biomass,CIPB,CA
KieferLandfillA,Biomass,Biomass,BANC,CA
KieferLandfillB,Biomass,Biomass,BANC,CA
KieferLandfillC,Biomass,Biomass,BANC,CA
Kilarc_1,HydroRPS_FixedDispatch,Hydro,CIPV,CA
Kilarc_2,HydroRPS_FixedDispatch,Hydro,CIPV,CA
Kimberlina_PV,SolarThermal-CSP0,CSP,CIPV,CA
KingCityCC-Total,CCWhole-NatGas-Industrial,CHP-QF,CIPV,CA
KingCityPeaking,CT-NatGas-Aero,Gas CT,CIPV,CA
Kingman,WT-Onshore,Wind,TEPC,AZ
Kings_Estate,SolarPV-NonTracking,PV,BPAT,PNW
KingsburgCgnCC-Total,CCWhole-NatGas-Industrial,CHP-QF,CIPV,CA
KingsRiverGT1,CT-NatGas-Aero,Gas CT,CIPV,CA
KingsRiverGT2,CT-NatGas-Aero,Gas CT,CIPV,CA
KingsRiverHY,Hydro_FixedDispatch,Hydro,CISC,CA
Kit_Carson_Wind,WT-Onshore,Wind,WACM,COWY
KlamathCC-Total,CCWhole-NatGas-Industrial,Gas CC,BPAT,PNW
KlamathCogenCC-Total,CCWhole-NatGas-Industrial,Gas CC,BPAT,PNW
KlamathExpGT1,CT-NatGas-Aero,Gas CT,BPAT,PNW
KlamathExpGT2,CT-NatGas-Aero,Gas CT,BPAT,PNW
KlamathExpGT3,CT-NatGas-Aero,Gas CT,BPAT,PNW
KlamathExpGT4,CT-NatGas-Aero,Gas CT,BPAT,PNW
KlondikeWind1,WT-Onshore,Wind,BPAT,PNW
KlondikeWind2,WT-Onshore,Wind,BPAT,PNW
KlondikeWind3_1,WT-Onshore,Wind,BPAT,PNW
KlondikeWind3_2,WT-Onshore,Wind,BPAT,PNW
Kohler_Hydro_1,Hydro_FixedDispatch,Hydro,PSCO,COWY
Kohler_Hydro_2,Hydro_FixedDispatch,Hydro,PSCO,COWY
Kokish_River_1,Hydro_ZeroK,Hydro,BCHA,CAN
Kokish_River_2,Hydro_ZeroK,Hydro,BCHA,CAN
Kokish_River_3,Hydro_ZeroK,Hydro,BCHA,CAN
Koma_Kulshan,Hydro_ZeroK,Hydro,PSEI,PNW
KookipiCreek1,Hydro_ZeroK,Hydro,BCHA,CAN
KootenayCanal1,Hydro,Hydro,BCHA,CAN
KootenayCanal2,Hydro,Hydro,BCHA,CAN
KootenayCanal3,Hydro,Hydro,BCHA,CAN
KootenayCanal4,Hydro,Hydro,BCHA,CAN
Kortes_1,Hydro_FixedDispatch,Hydro,WACM,COWY
Kortes_2,Hydro_FixedDispatch,Hydro,WACM,COWY
Kortes_3,Hydro_FixedDispatch,Hydro,WACM,COWY
Koyle_Ranch,Hydro_ZeroK,Hydro,IPMV,PNW
KUCC-1,ST-Coal,Coal,PAUT,UT
KUCC-2,ST-Coal,Coal,PAUT,UT
KUCC-3,ST-Coal,Coal,PAUT,UT
KUCC-4,ST-Coal,Coal,PAUT,UT
KumeyaayWind,WT-Onshore,Wind,CISD,CA
KwoiekCreek1,Hydro_ZeroK,Hydro,BCHA,CAN
